"Id","ActivityDate","TotalSteps","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","Calories","TotalMinutes"
1503960366,"3/25/2016",11004,33,12,205,804,1819,1054
1503960366,"3/26/2016",17609,89,17,274,588,2154,968
1503960366,"3/27/2016",12736,56,5,268,605,1944,934
1503960366,"3/28/2016",13231,39,20,224,1080,1932,1363
1503960366,"3/29/2016",12041,28,28,243,763,1886,1062
1503960366,"3/30/2016",10970,30,13,223,1174,1820,1440
1503960366,"3/31/2016",12256,33,12,239,820,1889,1104
1503960366,"4/1/2016",12262,47,21,200,866,1868,1134
1503960366,"4/2/2016",11248,40,11,244,636,1843,931
1503960366,"4/3/2016",10016,15,30,314,655,1850,1014
1503960366,"4/4/2016",14557,43,18,285,757,2030,1103
1503960366,"4/5/2016",14844,36,18,341,736,2083,1131
1503960366,"4/6/2016",11974,27,12,228,1173,1861,1440
1503960366,"4/7/2016",10198,17,20,195,1208,1755,1440
1503960366,"4/8/2016",12521,46,22,212,1160,1895,1440
1503960366,"4/9/2016",12432,32,15,248,738,1883,1033
1503960366,"4/10/2016",10057,44,13,168,737,1755,962
1503960366,"4/11/2016",10990,26,14,216,855,1811,1111
1503960366,"4/12/2016",224,0,0,9,32,50,41
1624580081,"3/25/2016",1810,0,0,121,1319,1373,1440
1624580081,"3/26/2016",815,0,0,47,1393,1264,1440
1624580081,"3/27/2016",1985,0,0,112,1328,1350,1440
1624580081,"3/28/2016",1905,0,0,95,1345,1342,1440
1624580081,"3/29/2016",1552,0,0,66,1374,1300,1440
1624580081,"3/30/2016",1675,0,0,84,1356,1313,1440
1624580081,"3/31/2016",4506,7,4,144,1285,1498,1440
1624580081,"4/1/2016",9218,0,0,221,1219,1541,1440
1624580081,"4/2/2016",1556,0,0,88,1352,1327,1440
1624580081,"4/3/2016",2910,0,0,157,1283,1452,1440
1624580081,"4/4/2016",18464,0,0,270,1170,1574,1440
1624580081,"4/5/2016",1335,0,0,74,1366,1308,1440
1624580081,"4/6/2016",1004,0,0,55,1385,1276,1440
1624580081,"4/7/2016",1111,0,0,54,1386,1278,1440
1624580081,"4/8/2016",6344,0,0,143,1297,1409,1440
1624580081,"4/9/2016",3572,0,0,122,1318,1370,1440
1624580081,"4/10/2016",3910,7,7,186,1240,1555,1440
1624580081,"4/11/2016",10000,0,0,172,1268,1469,1440
1624580081,"4/12/2016",6627,0,0,89,604,706,693
1644430081,"4/1/2016",4636,0,16,586,838,3323,1440
1644430081,"4/2/2016",20237,34,141,347,918,4029,1440
1644430081,"4/3/2016",12912,59,16,283,1082,3436,1440
1644430081,"4/4/2016",2819,4,4,87,1345,2444,1440
1644430081,"4/5/2016",9921,5,35,219,1181,3098,1440
1644430081,"4/6/2016",8046,18,41,137,1244,2925,1440
1644430081,"4/7/2016",11166,3,58,230,1149,3202,1440
1644430081,"4/8/2016",7842,7,43,161,1229,2928,1440
1644430081,"4/9/2016",13840,18,81,192,1149,3290,1440
1644430081,"4/10/2016",1329,0,0,35,207,489,242
1844505072,"4/1/2016",6847,9,9,251,1171,1969,1440
1844505072,"4/2/2016",5367,0,0,263,1177,1889,1440
1844505072,"4/3/2016",2841,0,0,136,1114,1636,1250
1844505072,"4/7/2016",6344,0,0,290,1150,1965,1440
1844505072,"4/8/2016",5316,0,0,221,1219,1824,1440
1844505072,"4/9/2016",4979,0,0,184,620,1807,804
1844505072,"4/10/2016",6556,0,0,305,810,1971,1115
1844505072,"4/11/2016",5430,0,0,251,1189,1888,1440
1927972279,"4/1/2016",4317,0,11,192,854,2590,1057
1927972279,"4/2/2016",5662,0,0,267,858,2783,1125
1927972279,"4/3/2016",3198,0,0,146,1183,2449,1329
1927972279,"4/4/2016",2352,0,0,128,829,2380,957
1927972279,"4/5/2016",2234,0,0,108,912,2344,1020
1927972279,"4/6/2016",1259,0,0,73,938,2202,1011
1927972279,"4/7/2016",768,0,0,43,1397,2130,1440
1927972279,"4/8/2016",519,0,0,34,1406,2088,1440
1927972279,"4/9/2016",2523,0,9,134,1250,2443,1393
1927972279,"4/10/2016",2105,0,0,139,805,2442,944
1927972279,"4/11/2016",1209,0,0,73,842,2255,915
1927972279,"4/12/2016",24,0,0,3,161,942,164
2022484408,"4/1/2016",13603,72,16,213,1139,2645,1440
2022484408,"4/2/2016",5477,0,0,237,1203,2040,1440
2022484408,"4/3/2016",11144,25,22,279,1114,2395,1440
2022484408,"4/4/2016",15313,62,19,233,1126,2581,1440
2022484408,"4/5/2016",10805,36,37,298,1069,2735,1440
2022484408,"4/6/2016",15392,47,42,258,1093,2733,1440
2022484408,"4/7/2016",18247,72,62,252,1054,3021,1440
2022484408,"4/8/2016",13023,40,12,296,1092,2577,1440
2022484408,"4/9/2016",16267,44,16,302,1078,2811,1440
2022484408,"4/10/2016",10005,1,23,339,1077,2458,1440
2022484408,"4/11/2016",10106,41,16,272,1111,2568,1440
2022484408,"4/12/2016",6717,41,5,67,551,1140,664
2026352035,"4/1/2016",2605,0,0,166,729,1407,895
2026352035,"4/2/2016",1229,0,0,69,795,1237,864
2026352035,"4/3/2016",2308,0,0,115,720,1330,835
2026352035,"4/4/2016",6679,0,0,263,644,1583,907
2026352035,"4/5/2016",5645,0,0,248,621,1538,869
2026352035,"4/6/2016",3180,0,0,185,738,1421,923
2026352035,"4/7/2016",2767,0,0,170,673,1392,843
2026352035,"4/8/2016",3762,0,0,173,719,1425,892
2026352035,"4/9/2016",3098,0,0,185,700,1413,885
2026352035,"4/10/2016",5142,0,0,230,654,1515,884
2026352035,"4/11/2016",3279,0,0,164,694,1405,858
2026352035,"4/12/2016",1019,0,0,64,223,600,287
2320127002,"4/5/2016",4931,0,0,175,1265,1708,1440
2320127002,"4/6/2016",6999,0,0,320,1120,1950,1440
2320127002,"4/7/2016",1846,0,0,93,1347,1508,1440
2320127002,"4/8/2016",3417,0,0,153,1287,1625,1440
2320127002,"4/9/2016",4863,1,11,208,1220,1772,1440
2320127002,"4/10/2016",2277,0,0,103,1337,1530,1440
2320127002,"4/11/2016",11230,10,2,390,1038,2206,1440
2320127002,"4/12/2016",2098,0,0,69,617,790,686
2347167796,"3/29/2016",10272,2,58,208,700,2041,968
2347167796,"3/30/2016",10533,21,35,255,615,2187,926
2347167796,"3/31/2016",6760,0,0,250,613,1929,863
2347167796,"4/1/2016",8328,0,33,212,804,1935,1049
2347167796,"4/2/2016",15459,51,16,327,583,2438,977
2347167796,"4/3/2016",7485,0,0,324,491,2035,815
2347167796,"4/4/2016",10254,21,25,231,638,2099,915
2347167796,"4/5/2016",10114,18,9,269,696,2096,992
2347167796,"4/6/2016",11107,14,46,196,759,2058,1015
2347167796,"4/7/2016",10320,15,32,315,1002,2338,1364
2347167796,"4/8/2016",10209,2,6,316,711,2104,1035
2347167796,"4/9/2016",16081,16,32,401,970,2488,1419
2347167796,"4/10/2016",10078,12,3,303,463,2164,781
2347167796,"4/11/2016",10001,5,52,196,788,2009,1041
2873212765,"4/1/2016",890,0,0,41,1399,1335,1440
2873212765,"4/2/2016",2214,0,0,197,1243,1559,1440
2873212765,"4/3/2016",7640,3,15,315,1107,1845,1440
2873212765,"4/4/2016",9713,6,24,355,1055,2046,1440
2873212765,"4/5/2016",8432,0,0,374,1066,1953,1440
2873212765,"4/6/2016",7350,0,0,382,1058,1910,1440
2873212765,"4/7/2016",9353,5,17,363,1055,2035,1440
2873212765,"4/8/2016",7157,0,0,380,1060,1944,1440
2873212765,"4/9/2016",14103,46,8,288,1098,2257,1440
2873212765,"4/10/2016",5290,1,8,251,1180,1724,1440
2873212765,"4/11/2016",7497,0,0,357,882,1741,1239
2891001357,"4/2/2016",4126,0,0,720,720,2881,1440
2891001357,"4/5/2016",2063,0,0,630,99,1144,729
3372868164,"4/1/2016",5785,0,0,311,1129,1852,1440
3372868164,"4/2/2016",7625,24,1,341,1074,2069,1440
3372868164,"4/3/2016",4706,0,0,299,1141,1816,1440
3372868164,"4/4/2016",5861,20,7,233,1180,1878,1440
3372868164,"4/5/2016",4460,0,0,248,1192,1787,1440
3372868164,"4/6/2016",6406,17,4,325,1094,2010,1440
3372868164,"4/7/2016",7392,14,9,332,1085,2038,1440
3372868164,"4/8/2016",5551,0,0,282,1158,1815,1440
3372868164,"4/9/2016",8827,21,10,346,1063,2062,1440
3372868164,"4/10/2016",4662,22,4,152,735,1276,913
3977333714,"4/1/2016",4499,0,0,168,842,1288,1010
3977333714,"4/2/2016",7618,0,6,302,842,1490,1150
3977333714,"4/3/2016",11508,29,22,282,748,1630,1081
3977333714,"4/4/2016",11943,16,43,297,710,1648,1066
3977333714,"4/5/2016",12303,26,32,291,605,1649,954
3977333714,"4/6/2016",15425,24,45,331,614,1783,1014
3977333714,"4/7/2016",8422,0,81,139,815,1431,1035
3977333714,"4/8/2016",10226,0,101,174,685,1524,960
3977333714,"4/9/2016",14583,35,36,254,697,1697,1022
3977333714,"4/10/2016",3573,15,8,99,866,1232,988
3977333714,"4/11/2016",3108,1,1,129,894,1223,1025
3977333714,"4/12/2016",759,0,0,17,187,182,204
4020332650,"3/12/2016",5543,0,0,254,757,2990,1011
4020332650,"3/13/2016",3226,0,0,136,771,2480,907
4020332650,"3/14/2016",3023,0,0,145,1005,2570,1150
4020332650,"3/15/2016",5906,0,10,215,874,3016,1099
4020332650,"3/16/2016",12483,25,14,309,599,3830,947
4020332650,"3/17/2016",8940,0,0,47,986,3706,1033
4020332650,"3/28/2016",2106,31,45,75,1289,4010,1440
4020332650,"3/29/2016",4152,0,0,187,1253,2976,1440
4020332650,"3/30/2016",5400,0,0,258,795,3418,1053
4020332650,"3/31/2016",7428,18,33,261,860,3439,1172
4020332650,"4/1/2016",5351,15,17,210,748,3338,990
4020332650,"4/2/2016",4299,3,15,162,752,2892,932
4020332650,"4/3/2016",6107,0,0,265,776,3313,1041
4020332650,"4/4/2016",6429,0,28,193,741,3118,962
4020332650,"4/5/2016",6880,7,19,165,1249,2966,1440
4020332650,"4/6/2016",7476,0,0,263,920,3253,1183
4020332650,"4/7/2016",6581,0,8,241,1191,3032,1440
4020332650,"4/8/2016",10480,6,37,272,1125,4034,1440
4020332650,"4/9/2016",7734,20,12,223,1185,3264,1440
4020332650,"4/10/2016",5129,5,7,176,1178,2817,1366
4020332650,"4/11/2016",2993,0,0,114,888,2507,1002
4020332650,"4/12/2016",8,0,0,1,321,446,322
4057192912,"3/14/2016",8433,30,7,135,1268,2453,1440
4057192912,"3/16/2016",2139,0,28,15,1397,1935,1440
4057192912,"3/18/2016",949,0,0,34,1406,1870,1440
4057192912,"3/21/2016",2660,0,0,46,1394,1978,1440
4057192912,"3/22/2016",5561,0,0,169,1271,2296,1440
4057192912,"3/23/2016",7239,7,7,190,1236,2484,1440
4057192912,"3/27/2016",2275,0,0,86,1354,2005,1440
4057192912,"3/29/2016",5137,0,0,160,1280,2293,1440
4057192912,"3/30/2016",5419,0,0,145,1295,2259,1440
